,10_game_avg,50_game_avg,ha,result,streak
2009-11-19Tulane,-1.0,-1.0,0.0,-1.0,-1.0
2009-11-19Villanova,1.0,1.0,1.0,-1.0,1.0
2009-11-19Virginia,-1.0,-1.0,1.0,1.0,-1.0
2009-11-19Wm_&_Mary,1.0,1.0,1.0,1.0,2.0
2009-11-20Alabama,-1.0,-1.0,1.0,1.0,-1.0
2009-11-20App_State,1.0,1.0,0.0,1.0,1.0
2009-11-20Arizona_St,-1.0,-1.0,1.0,1.0,-2.0
2009-11-20Arkansas,-1.0,-1.0,1.0,-1.0,-1.0
2009-11-20Auburn,-1.0,-1.0,1.0,-1.0,-2.0
2009-11-20Austin_Peay,0.0,0.0,0.0,-1.0,1.0
2009-11-20BYU,0.0,0.0,0.0,1.0,1.0
2009-11-20California,0.0,0.0,0.0,-1.0,-1.0
2009-11-20Central_FL,1.0,1.0,0.0,1.0,1.0
2009-11-20Cornell,1.0,1.0,1.0,-1.0,2.0
2009-11-20Dayton,1.0,1.0,0.0,-1.0,2.0
2009-11-20Detroit,0.0,0.0,0.0,1.0,1.0
2009-11-20Drexel,0.0,0.0,0.0,1.0,1.0
2009-11-20Geo_Mason,0.0,0.0,1.0,-1.0,1.0
2009-11-20Georgia_St,-1.0,-1.0,1.0,-1.0,-1.0
2009-11-20Indiana,-0.3333333333333333,-0.3333333333333333,0.0,-1.0,-2.0
2009-11-20Indiana_St,1.0,1.0,1.0,-1.0,2.0
2009-11-20Iowa,-1.0,-1.0,1.0,1.0,-2.0
2009-11-20James_Mad,-1.0,-1.0,0.0,-1.0,-1.0
2009-11-20Kansas_St,0.0,0.0,1.0,-1.0,-1.0
2009-11-20La_Salle,-1.0,-1.0,0.0,1.0,-1.0
2009-11-20Memphis,1.0,1.0,1.0,1.0,1.0
2009-11-20Miami_(OH),0.0,0.0,1.0,-1.0,1.0
2009-11-20Michigan_St,-1.0,-1.0,1.0,-1.0,-1.0
2009-11-20Mississippi,1.0,1.0,0.0,1.0,2.0
2009-11-20Missouri_St,1.0,1.0,1.0,-1.0,1.0
2009-11-20NC-Grnsboro,0.0,0.0,1.0,-1.0,1.0
2009-11-20NC-Wilmgton,-0.3333333333333333,-0.3333333333333333,1.0,1.0,1.0
2009-11-20NC_State,1.0,1.0,0.0,1.0,1.0
2009-11-20N_Carolina,0.3333333333333333,0.3333333333333333,1.0,-1.0,1.0
2009-11-20N_Iowa,1.0,1.0,1.0,-1.0,1.0
2009-11-20New_Mexico,1.0,1.0,1.0,1.0,2.0
2009-11-20Niagara,0.0,0.0,0.0,-1.0,-1.0
2009-11-20Ohio_State,0.0,0.0,1.0,1.0,-1.0
2009-11-20Penn_State,0.0,0.0,1.0,-1.0,-1.0
2009-11-20Purdue,1.0,1.0,1.0,-1.0,1.0
2009-11-20S_Carolina,1.0,1.0,0.0,-1.0,2.0
2009-11-20S_Florida,1.0,1.0,1.0,1.0,3.0
2009-11-20Samford,1.0,1.0,0.0,-1.0,3.0
2009-11-20San_Fransco,-1.0,-1.0,0.0,-1.0,-1.0
2009-11-20Seton_Hall,-1.0,-1.0,0.0,1.0,-1.0
2009-11-20St_Josephs,1.0,1.0,0.0,1.0,1.0
2009-11-20St_Marys,1.0,1.0,1.0,-1.0,2.0
2009-11-20Syracuse,1.0,1.0,0.0,1.0,2.0
2009-11-20TN_State,-1.0,-1.0,0.0,-1.0,-1.0
2009-11-20TN_Tech,-1.0,-1.0,0.0,-1.0,-1.0
2009-11-20Tennessee,1.0,1.0,1.0,1.0,1.0
2009-11-20Texas_A&M,1.0,1.0,1.0,1.0,1.0
2009-11-20Tulane,-1.0,-1.0,0.0,1.0,-2.0
2009-11-20Villanova,0.0,0.0,1.0,1.0,-1.0
2009-11-20Washington,-0.3333333333333333,-0.3333333333333333,1.0,-1.0,1.0
2009-11-21Auburn,-1.0,-1.0,1.0,1.0,-3.0
2009-11-21Austin_Peay,-0.3333333333333333,-0.3333333333333333,0.0,1.0,-1.0
2009-11-21Boise_State,-1.0,-1.0,0.0,-1.0,-3.0
2009-11-21Butler,0.0,0.0,0.0,-1.0,1.0
2009-11-21Cal_Poly,1.0,1.0,0.0,1.0,1.0
2009-11-21Central_FL,1.0,1.0,0.0,-1.0,2.0
2009-11-21Delaware,-1.0,-1.0,0.0,1.0,-1.0
2009-11-21Detroit,0.3333333333333333,0.3333333333333333,0.0,1.0,2.0
2009-11-21GA_Southern,0.0,0.0,0.0,-1.0,1.0
2009-11-21Georgia,-1.0,-1.0,0.0,-1.0,-2.0
2009-11-21Georgia_St,-1.0,-1.0,1.0,1.0,-2.0
2009-11-21Kentucky,-1.0,-1.0,1.0,1.0,-2.0
2009-11-21LA_Monroe,0.0,0.0,0.0,1.0,1.0
2009-11-21Loyola_Mymt,0.5,0.5,0.0,1.0,-1.0
2009-11-21Miami_(OH),-0.3333333333333333,-0.3333333333333333,1.0,1.0,-1.0
2009-11-21Missouri_St,0.0,0.0,1.0,1.0,-1.0
2009-11-21Morehead_St,1.0,1.0,1.0,-1.0,1.0
2009-11-21NC_State,1.0,1.0,1.0,-1.0,2.0
2009-11-21N_Iowa,0.0,0.0,0.0,-1.0,-1.0
2009-11-21Nevada,0.0,0.0,1.0,1.0,-1.0
2009-11-21New_Mexico,1.0,1.0,1.0,1.0,3.0
2009-11-21Niagara,-0.3333333333333333,-0.3333333333333333,1.0,1.0,-2.0
2009-11-21Northeastrn,1.0,1.0,1.0,1.0,1.0
2009-11-21Rider,0.0,0.0,0.0,-1.0,-1.0
2009-11-21S_Mississippi,1.0,1.0,0.0,1.0,1.0
2009-11-21Siena,0.0,0.0,0.0,1.0,-1.0
2009-11-21St_Peters,1.0,1.0,1.0,-1.0,2.0
2009-11-21TX_Christian,1.0,1.0,0.0,-1.0,2.0
2009-11-21Temple,1.0,1.0,1.0,-1.0,2.0
2009-11-21Towson,1.0,1.0,1.0,-1.0,1.0
2009-11-21Tulsa,0.0,0.0,1.0,1.0,-1.0
2009-11-21UAB,0.0,0.0,1.0,1.0,1.0
2009-11-21UNLV,1.0,1.0,1.0,1.0,1.0
2009-11-21U_Penn,-1.0,-1.0,1.0,-1.0,-2.0
2009-11-21Utah_State,1.0,1.0,0.0,-1.0,2.0
2009-11-21WI-Grn_Bay,-0.3333333333333333,-0.3333333333333333,1.0,-1.0,1.0
2009-11-21Wm_&_Mary,1.0,1.0,0.0,1.0,3.0
2009-11-21Youngs_St,-1.0,-1.0,0.0,1.0,-2.0
2009-11-22AR_Lit_Rock,0.0,0.0,0.0,-1.0,1.0
2009-11-22Auburn,-0.5,-0.5,0.0,-1.0,1.0
2009-11-22Austin_Peay,0.0,0.0,1.0,1.0,1.0
2009-11-22Bradley,0.0,0.0,1.0,-1.0,-1.0
2009-11-22Central_FL,0.3333333333333333,0.3333333333333333,1.0,1.0,-1.0
2009-11-22Creighton,-1.0,-1.0,1.0,1.0,-1.0
2009-11-22Dayton,0.3333333333333333,0.3333333333333333,1.0,-1.0,-1.0
2009-11-22Detroit,0.5,0.5,1.0,-1.0,3.0
2009-11-22GA_Tech,0.0,0.0,0.0,1.0,1.0
2009-11-22Geo_Mason,-0.3333333333333333,-0.3333333333333333,0.0,-1.0,-1.0
2009-11-22Georgia_St,-0.3333333333333333,-0.3333333333333333,0.0,-1.0,1.0
2009-11-22Indiana,-0.5,-0.5,1.0,1.0,-3.0
2009-11-22James_Mad,-1.0,-1.0,0.0,1.0,-2.0
2009-11-22Kansas_St,-0.3333333333333333,-0.3333333333333333,0.0,1.0,-2.0
2009-11-22La_Salle,0.0,0.0,1.0,-1.0,1.0
2009-11-22Miami_(OH),0.0,0.0,0.0,-1.0,1.0
2009-11-22Michigan_St,-1.0,-1.0,1.0,1.0,-2.0
2009-11-22Mississippi,1.0,1.0,0.0,-1.0,3.0
2009-11-22Missouri_St,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0
2009-11-22NC-Wilmgton,0.0,0.0,0.0,1.0,2.0
2009-11-22NC_State,0.3333333333333333,0.3333333333333333,1.0,1.0,-1.0
2009-11-22New_Mexico,1.0,1.0,1.0,1.0,4.0
2009-11-22Niagara,0.0,0.0,0.0,-1.0,1.0
2009-11-22Northwestern,0.0,0.0,1.0,-1.0,-1.0
2009-11-22Pacific,-1.0,-1.0,1.0,1.0,-2.0
2009-11-22Penn_State,-0.3333333333333333,-0.3333333333333333,0.0,-1.0,-2.0
2009-11-22Purdue,0.0,0.0,1.0,1.0,-1.0
2009-11-22S_Carolina,0.3333333333333333,0.3333333333333333,0.0,-1.0,-1.0
2009-11-22S_Florida,1.0,1.0,1.0,-1.0,4.0
2009-11-22St_Josephs,1.0,1.0,0.0,-1.0,2.0
2009-11-22TN_State,-1.0,-1.0,0.0,1.0,-2.0
2009-11-22Tennessee,1.0,1.0,1.0,-1.0,2.0
2009-11-22Tulane,-0.3333333333333333,-0.3333333333333333,0.0,1.0,1.0
2009-11-22UC_Riverside,-1.0,-1.0,1.0,1.0,-1.0
2009-11-22Valparaiso,0.0,0.0,0.0,-1.0,1.0
2009-11-22Villanova,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0
2009-11-22Wofford,1.0,1.0,0.0,1.0,2.0
2009-11-23App_State,1.0,1.0,0.0,-1.0,2.0
2009-11-23Cal_Poly,1.0,1.0,0.0,-1.0,2.0
2009-11-23Cal_St_Nrdge,-1.0,-1.0,0.0,1.0,-3.0
2009-11-23Charlotte,0.0,0.0,1.0,1.0,-1.0
2009-11-23Coastal_Car,1.0,1.0,0.0,1.0,2.0
2009-11-23Colgate,0.0,0.0,0.0,1.0,-1.0
2009-11-23Duquesne,1.0,1.0,1.0,-1.0,1.0
2009-11-23Gonzaga,1.0,1.0,1.0,-1.0,1.0
2009-11-23Hofstra,-0.3333333333333333,-0.3333333333333333,1.0,1.0,1.0
2009-11-23Indiana_St,0.3333333333333333,0.3333333333333333,1.0,-1.0,-1.0
2009-11-23Iowa,-0.3333333333333333,-0.3333333333333333,1.0,-1.0,1.0
2009-11-23James_Mad,-0.3333333333333333,-0.3333333333333333,1.0,-1.0,1.0
2009-11-23Louisville,1.0,1.0,1.0,1.0,1.0
2009-11-23Loyola-Chi,0.0,0.0,1.0,1.0,1.0
2009-11-23N_Iowa,-0.3333333333333333,-0.3333333333333333,0.0,1.0,-2.0
2009-11-23Pepperdine,0.0,0.0,0.0,-1.0,-1.0
2009-11-23Pittsburgh,-1.0,-1.0,1.0,1.0,-3.0
2009-11-23Purdue,0.3333333333333333,0.3333333333333333,1.0,-1.0,1.0
2009-11-23San_Diego_St,0.0,0.0,0.0,1.0,1.0
2009-11-23San_Fransco,-1.0,-1.0,0.0,-1.0,-2.0
2009-11-23St_Josephs,0.3333333333333333,0.3333333333333333,1.0,-1.0,-1.0
2009-11-23St_Marys,0.3333333333333333,0.3333333333333333,1.0,1.0,-1.0
2009-11-23TX_Christian,0.3333333333333333,0.3333333333333333,1.0,-1.0,-1.0
2009-11-23Tennessee,0.3333333333333333,0.3333333333333333,0.0,1.0,-1.0
2009-11-23Texas,1.0,1.0,0.0,1.0,2.0
2009-11-23Texas_State,1.0,1.0,0.0,-1.0,2.0
2009-11-23UCLA,-1.0,-1.0,1.0,1.0,-1.0
2009-11-23UC_Irvine,0.0,0.0,1.0,-1.0,1.0
2009-11-23WI-Milwkee,0.0,0.0,1.0,1.0,-1.0
2009-11-23W_Kentucky,-1.0,-1.0,1.0,-1.0,-2.0
2009-11-23Yale,1.0,1.0,0.0,-1.0,2.0
2009-11-24Arizona,1.0,1.0,1.0,1.0,2.0
2009-11-24Ball_State,1.0,1.0,0.0,-1.0,1.0
2009-11-24Boise_State,-1.0,-1.0,0.0,1.0,-4.0
2009-11-24CS_Fullerton,1.0,1.0,1.0,1.0,1.0
2009-11-24Cal_St_Nrdge,-0.5,-0.5,1.0,1.0,1.0
2009-11-24Central_Mich,0.0,0.0,0.0,-1.0,1.0
2009-11-24Charlotte,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0
2009-11-24Cincinnati,1.0,1.0,1.0,1.0,2.0
2009-11-24Cleveland_St,-1.0,-1.0,1.0,-1.0,-1.0
2009-11-24Coastal_Car,1.0,1.0,0.0,-1.0,3.0
2009-11-24Colgate,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0
2009-11-24Colorado,1.0,1.0,0.0,-1.0,1.0
2009-11-24Cornell,0.3333333333333333,0.3333333333333333,0.0,-1.0,-1.0
2009-11-24Delaware,0.0,0.0,0.0,-1.0,1.0
2009-11-24Drexel,0.3333333333333333,0.3333333333333333,0.0,1.0,2.0
2009-11-24E_Washingtn,0.0,0.0,1.0,-1.0,1.0
2009-11-24Gonzaga,0.0,0.0,0.0,1.0,-1.0
2009-11-24Hofstra,0.0,0.0,1.0,-1.0,2.0
2009-11-24Idaho,1.0,1.0,1.0,-1.0,1.0
2009-11-24Idaho_State,-0.3333333333333333,-0.3333333333333333,0.0,-1.0,-1.0
2009-11-24Indiana_St,0.0,0.0,0.0,1.0,-2.0
2009-11-24Iowa,-0.5,-0.5,1.0,-1.0,-1.0
2009-11-24Iowa_State,1.0,1.0,1.0,1.0,2.0
2009-11-24Kentucky,-0.3333333333333333,-0.3333333333333333,0.0,1.0,1.0
2009-11-24Loyola_Mymt,0.6,0.6,0.0,1.0,1.0
2009-11-24N_Mex_State,-1.0,-1.0,0.0,-1.0,-2.0
2009-11-24Ohio_State,0.3333333333333333,0.3333333333333333,1.0,-1.0,1.0
2009-11-24Pittsburgh,-0.5,-0.5,0.0,-1.0,1.0
2009-11-24Princeton,1.0,1.0,0.0,-1.0,2.0
2009-11-24Rider,-0.3333333333333333,-0.3333333333333333,1.0,1.0,-2.0
2009-11-24Siena,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0
2009-11-24Stanford,-1.0,-1.0,1.0,1.0,-1.0
2009-11-24Syracuse,1.0,1.0,1.0,1.0,3.0
2009-11-24TN_State,-0.3333333333333333,-0.3333333333333333,0.0,-1.0,1.0
2009-11-24TX_Christian,0.0,0.0,1.0,-1.0,-2.0
2009-11-24Temple,0.3333333333333333,0.3333333333333333,1.0,1.0,-1.0
2009-11-24Texas,1.0,1.0,1.0,1.0,3.0
2009-11-24Texas_State,0.3333333333333333,0.3333333333333333,0.0,1.0,-1.0
2009-11-24Tulsa,0.3333333333333333,0.3333333333333333,1.0,-1.0,1.0
2009-11-24UAB,0.2,0.2,1.0,1.0,2.0
2009-11-24UC_Irvine,-0.3333333333333333,-0.3333333333333333,0.0,-1.0,-1.0
2009-11-24U_Penn,-1.0,-1.0,1.0,-1.0,-3.0
2009-11-24Utah_State,0.3333333333333333,0.3333333333333333,1.0,1.0,-1.0
2009-11-24Virginia,0.0,0.0,0.0,-1.0,1.0
2009-11-24WI-Milwkee,0.3333333333333333,0.3333333333333333,1.0,-1.0,1.0
2009-11-24W_Carolina,-1.0,-1.0,1.0,1.0,-1.0
2009-11-24W_Kentucky,-1.0,-1.0,1.0,-1.0,-3.0
2009-11-24Wisconsin,0.0,0.0,1.0,-1.0,-1.0
2009-11-24Wofford,1.0,1.0,0.0,1.0,3.0
2009-11-24Wright_State,1.0,1.0,1.0,1.0,2.0
2009-11-24Yale,0.3333333333333333,0.3333333333333333,1.0,1.0,-1.0
2009-11-25AR_Lit_Rock,-0.3333333333333333,-0.3333333333333333,0.0,-1.0,-1.0
2009-11-25Arizona,1.0,1.0,1.0,-1.0,3.0
2009-11-25Arizona_St,-0.3333333333333333,-0.3333333333333333,0.0,-1.0,1.0
2009-11-25Cincinnati,1.0,1.0,0.0,-1.0,3.0
2009-11-25Cleveland_St,-1.0,-1.0,0.0,-1.0,-2.0
2009-11-25Connecticut,-1.0,-1.0,1.0,1.0,-3.0
2009-11-25Denver,0.0,0.0,1.0,-1.0,1.0
2009-11-25Duke,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0
2009-11-25Duquesne,0.0,0.0,0.0,-1.0,-1.0
2009-11-25Georgia_St,-0.5,-0.5,1.0,1.0,-1.0
2009-11-25Gonzaga,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0
2009-11-25Kent_State,0.0,0.0,0.0,-1.0,1.0
2009-11-25Kentucky,0.0,0.0,1.0,-1.0,2.0
2009-11-25LSU,0.3333333333333333,0.3333333333333333,0.0,-1.0,1.0
2009-11-25Maryland,0.0,0.0,0.0,-1.0,-1.0
2009-11-25Pacific,-0.3333333333333333,-0.3333333333333333,1.0,1.0,1.0
2009-11-25Penn_State,-0.3333333333333333,-0.3333333333333333,1.0,-1.0,-2.0
2009-11-25Rider,0.0,0.0,1.0,-1.0,1.0
2009-11-25S_Florida,0.6,0.6,1.0,1.0,-1.0
2009-11-25San_Diego,1.0,1.0,1.0,1.0,2.0
2009-11-25San_Diego_St,0.3333333333333333,0.3333333333333333,0.0,-1.0,2.0
2009-11-25San_Fransco,-1.0,-1.0,1.0,-1.0,-3.0
2009-11-25Stanford,0.0,0.0,0.0,1.0,1.0
2009-11-25Vanderbilt,0.0,0.0,0.0,1.0,-1.0
2009-11-25Virginia,-0.3333333333333333,-0.3333333333333333,1.0,1.0,-1.0
2009-11-25W_Carolina,0.0,0.0,1.0,1.0,1.0
2009-11-25Wisconsin,-0.3333333333333333,-0.3333333333333333,1.0,1.0,-2.0
2009-11-26Alabama,0.0,0.0,0.0,1.0,1.0
2009-11-26Butler,-0.3333333333333333,-0.3333333333333333,1.0,-1.0,-1.0
2009-11-26Creighton,0.0,0.0,0.0,-1.0,1.0
2009-11-26Georgia_St,-0.2,-0.2,0.0,1.0,1.0
2009-11-26Minnesota,0.0,0.0,0.0,1.0,-1.0
2009-11-26Texas_A&M,1.0,1.0,0.0,1.0,2.0
2009-11-26UCLA,0.0,0.0,1.0,-1.0,1.0
2009-11-26Xavier,1.0,1.0,1.0,-1.0,2.0
2009-11-27Alabama,0.3333333333333333,0.3333333333333333,0.0,-1.0,2.0
2009-11-27Arizona_St,-0.5,-0.5,0.0,1.0,-1.0
2009-11-27BYU,0.3333333333333333,0.3333333333333333,1.0,-1.0,2.0
2009-11-27Baylor,-1.0,-1.0,1.0,1.0,-1.0
2009-11-27Bradley,-0.3333333333333333,-0.3333333333333333,0.0,-1.0,-2.0
2009-11-27Butler,-0.5,-0.5,1.0,-1.0,-2.0
2009-11-27Clemson,0.3333333333333333,0.3333333333333333,1.0,-1.0,-1.0
2009-11-27Connecticut,-0.5,-0.5,0.0,-1.0,1.0
2009-11-27Cornell,0.0,0.0,0.0,1.0,-2.0
2009-11-27Creighton,-0.3333333333333333,-0.3333333333333333,0.0,-1.0,-1.0
2009-11-27Drexel,0.5,0.5,1.0,1.0,3.0
2009-11-27Duke,0.5,0.5,1.0,1.0,2.0
2009-11-27Florida_St,-1.0,-1.0,1.0,1.0,-2.0
2009-11-27GA_Southern,-0.3333333333333333,-0.3333333333333333,1.0,-1.0,-1.0
2009-11-27Georgia,-1.0,-1.0,1.0,-1.0,-3.0
2009-11-27Illinois,-1.0,-1.0,0.0,-1.0,-2.0
2009-11-27Iona,1.0,1.0,0.0,-1.0,1.0
2009-11-27Iowa_State,1.0,1.0,0.0,1.0,3.0
2009-11-27Kansas,0.0,0.0,1.0,1.0,-1.0
2009-11-27LSU,0.0,0.0,1.0,-1.0,-1.0
2009-11-27Lg_Beach_St,0.0,0.0,0.0,1.0,-1.0
2009-11-27Marquette,1.0,1.0,0.0,1.0,1.0
2009-11-27Michigan,1.0,1.0,1.0,-1.0,1.0
2009-11-27Michigan_St,-0.3333333333333333,-0.3333333333333333,0.0,-1.0,1.0
2009-11-27Minnesota,0.3333333333333333,0.3333333333333333,1.0,-1.0,1.0
2009-11-27Miss_State,-1.0,-1.0,1.0,-1.0,-1.0
2009-11-27Nevada,0.3333333333333333,0.3333333333333333,0.0,-1.0,1.0
2009-11-27New_Mexico,1.0,1.0,0.0,1.0,5.0
2009-11-27Northwestern,-0.3333333333333333,-0.3333333333333333,1.0,1.0,-2.0
2009-11-27Portland,1.0,1.0,0.0,1.0,3.0
2009-11-27S_Florida,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0
2009-11-27San_Diego,1.0,1.0,1.0,1.0,3.0
2009-11-27Siena,0.5,0.5,0.0,-1.0,2.0
2009-11-27St_Bonavent,1.0,1.0,1.0,1.0,2.0
2009-11-27Syracuse,1.0,1.0,1.0,-1.0,4.0
2009-11-27TN_Tech,-1.0,-1.0,0.0,-1.0,-2.0
2009-11-27Temple,0.5,0.5,1.0,1.0,1.0
2009-11-27Tennessee,0.3333333333333333,0.3333333333333333,1.0,-1.0,-1.0
